an;kh;ab;j;y
300-j-y;240-j-y;300-j-y;240;1000
460-j-y;600;100-j-y;120;140-j
120;340-j-y;240-an-j-kh;140;300
340;200-j-y;140-j;1360;160-ab
160-ab;540;160;200;840
0;100;240;370;460-an-ab-j
0;100-ab;390;100;120-ab
0;140-j;200;120-ab;100-ab
0;160;0;260;140-j
0;100;0;100;210
0;200-y;0;320-an-kh;120
0;180;0;1500;100
0;120-y;0;100;800-kh
0;100;0;460;460-j-an-ab
0;240;0;200-y;120
0;100-ab;0;100;150
0;140-j-ab;0;140;0
0;400-ab;0;300;0
0;160-ab;0;320-kh-an;0
0;100;0;0;0
