an;kh;ab;j;y
140;400;820;240;500-an
240-y;100;400-y;100;800-j-kh
60;120-y;120;1100;340
140-j-y;4000;100;580;200
120;140-j;360-kh-j;400;1200
200;200;170-y;300;100
0;280;0;300;220
0;340;0;100;140-j
0;450-j-ab-an;0;100;0
0;320-kh-an;0;230-y;0
0;200;0;140-j;0
0;0;0;200;0
0;0;0;300;0
0;0;0;320-kh-an;0
0;0;0;240;0
0;0;0;1200;0
0;0;0;680;0
0;0;0;100;0
0;0;0;140-j;0
0;0;0;200;0
0;0;0;120;0
0;0;0;200;0
0;0;0;80;0
0;0;0;220;0
